route_distance,crow_distance,edges
261,216,"[7.741, 7.733, 57.987, 6.506, 51.961, 5.96, 7.027, 2.668, 84.001, 14.349, 6.159, 7.214, 1.579]"
1895,1467,"[50.919, 57.9, 47.24, 28.398, 9.406, 4.89, 33.767, 6.728, 3.54, 93.769, 16.126, 6.476, 25.21, 38.976, 13.795, 242.93499999999997, 15.157, 10.833, 61.014, 7.696999999999999, 6.237, 9.064, 1.866, 9.02, 7.054, 12.035, 10.097999999999999, 13.554, 14.747, 5.196, 8.909, 17.177, 9.865, 5.347, 7.767, 6.171, 1.408, 9.443, 17.918, 39.294, 40.368, 31.793999999999997, 10.804, 13.284, 5.575, 5.566, 10.094, 5.095, 5.888, 5.69, 8.044, 5.889, 8.037, 37.118, 11.565, 9.025, 8.956, 5.239, 6.956, 4.5, 2.873, 6.065, 0.908, 44.944, 5.666, 15.623, 1.082, 11.207, 16.634999999999998, 5.439, 4.223, 1.03, 22.514, 8.082, 8.299, 9.161999999999999, 12.057, 8.463, 13.966, 74.223, 15.168, 114.00300000000001, 9.07, 54.96199999999999, 86.96399999999998, 8.186, 8.578, 18.754, 80.025]"
220,164,"[1.081, 38.725, 3.151, 3.521, 18.961, 6.667, 19.814, 6.079, 11.896, 6.147, 6.624, 30.388, 40.286, 26.482]"
3032,2431,"[4.074, 38.253, 3.04, 21.03, 17.874, 6.255, 11.921, 4.195, 32.419, 13.788, 26.818, 25.046999999999997, 7.666, 2.452, 57.621, 6.423, 59.521, 7.016, 7.671, 35.003, 72.225, 8.106, 7.895, 7.591, 22.142, 17.408, 34.413000000000004, 15.583, 11.126, 3.23, 3.8099999999999996, 9.226, 10.35, 4.286, 22.755, 2.656, 9.357, 27.969, 1.142, 8.076, 7.843, 1.719, 23.375999999999998, 32.288, 31.888, 6.94, 20.130000000000003, 7.637, 66.217, 18.381999999999998, 9.634, 38.25, 210.381, 110.535, 123.042, 43.45, 16.414, 8.173, 12.821000000000002, 38.677, 70.678, 54.034, 6.028, 12.393, 65.833, 6.253, 13.245, 71.55799999999999, 10.312, 11.387, 10.633, 3.599, 54.324, 3.083, 7.708, 5.28, 13.486, 14.097, 104.73700000000001, 65.187, 9.806, 10.82, 32.491, 6.4, 13.159, 15.246, 51.692, 20.307, 63.301, 58.091, 7.531, 3.804, 5.166, 4.679, 19.076, 9.357, 11.345, 54.885999999999996, 5.254, 5.435, 42.800000000000004, 4.745, 5.289, 60.141999999999996, 7.699, 25.843, 79.695, 46.397, 2.228, 7.89, 9.993, 42.75, 31.003999999999998, 34.028, 7.214, 97.264]"
745,584,"[13.344, 13.434999999999999, 19.647, 9.364, 4.795, 5.502000000000001, 5.746, 90.494, 6.086, 95.514, 104.02, 13.447, 82.786, 11.456, 21.183999999999997, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
842,609,"[65.47, 28.621, 5.662, 6.595, 137.27599999999998, 9.835, 35.777, 121.52199999999999, 33.537, 118.57999999999998, 7.976, 8.022, 134.639, 5.765, 17.942, 5.487, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
1343,1142,"[42.332, 5.523, 6.299, 9.029, 30.525000000000002, 109.041, 15.167, 7.008, 39.028999999999996, 2.629, 27.364, 21.052, 48.606, 5.073, 10.391, 6.255, 13.587, 120.76300000000002, 8.408, 8.62, 74.804, 20.518, 14.501, 34.832, 49.883, 10.225, 7.167, 89.991, 8.235, 6.88, 79.83500000000001, 13.6, 15.261, 104.317, 8.839, 18.865, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
2740,1359,"[95.517, 11.373000000000001, 179.363, 53.936, 76.751, 138.86399999999998, 43.599000000000004, 2.356, 4.714, 23.624000000000002, 53.858, 72.21000000000001, 51.159, 27.271, 25.836, 7.917, 3.805, 60.678000000000004, 86.484, 10.484, 28.212, 5.934, 4.125, 55.284000000000006, 32.876999999999995, 19.506, 133.353, 33.628, 10.54, 35.85, 14.318, 11.974, 8.368, 21.957, 64.276, 294.62, 26.013, 213.62800000000001, 47.711, 38.269000000000005, 45.732, 15.578, 6.994, 28.007, 4.575, 31.013, 31.497, 34.384, 7.89, 69.786, 24.593, 15.329, 8.997, 5.501, 40.626000000000005, 5.449, 16.709000000000003, 3.69, 21.582, 17.149, 18.895, 7.279999999999999, 50.902, 20.291, 29.326, 21.961, 25.961]"
745,584,"[13.344, 13.434999999999999, 19.647, 9.364, 4.795, 5.502000000000001, 5.746, 90.494, 6.086, 95.514, 104.02, 13.447, 82.786, 11.456, 21.183999999999997, 148.586, 34.004000000000005, 6.396, 12.294, 7.227, 6.336, 4.722, 28.731]"
3732,3304,"[79.422, 30.847, 71.643, 32.513, 22.979, 136.243, 12.443000000000001, 10.871, 23.242, 38.682, 17.289, 20.777, 39.327, 20.722, 9.989, 8.901, 173.84599999999998, 70.721, 45.388, 34.175, 9.541, 9.019, 9.742, 90.494, 6.086, 95.514, 12.187000000000001, 103.831, 10.106, 76.59100000000001, 22.585, 142.97299999999998, 16.056, 14.849, 13.015, 130.645, 7.661, 118.57999999999998, 33.537000000000006, 121.52199999999999, 35.777, 9.835, 14.762, 16.092000000000002, 82.41300000000001, 49.71, 11.43, 11.058, 79.215, 61.461999999999996, 144.331, 4.444, 11.285, 11.751000000000001, 7.867, 7.741, 109.32300000000001, 5.256, 13.260000000000002, 38.455, 12.235, 27.575, 4.72, 66.62, 71.025, 43.410000000000004, 11.531, 14.158, 21.186, 9.643, 7.486000000000001, 28.5, 57.398, 6.794, 5.774, 146.185, 7.065, 6.025, 16.922, 20.709, 18.384, 10.618, 45.918, 3.72, 28.384, 5.849, 6.045, 24.685000000000002, 24.741, 17.975, 8.314, 5.883, 14.554, 6.063, 11.064, 3.08, 4.47, 6.109, 7.463, 29.217, 6.462, 5.897, 97.394, 10.764, 9.232, 7.491, 27.687, 26.444, 3.206]"
